k;N.-U. Entropy (%);Discernibility (%);Record-level Squared Error (%);Attribute-level Squared Error (%);Loss Score (%);Highest Risk (%);Success Rate (%)
5;66.920;98.432;87.116;96.038;6.640;20;3.593
10;59.657;98.950;81.742;92.561;8.830;10;1.886
15;58.473;96.413;79.976;90.635;11.049;6.25;1.750
