k;N.-U. Entropy (%);Discernibility (%);Record-level Squared Error (%);Attribute-level Squared Error (%);Loss Score (%);Highest Risk (%);Success Rate (%)
5;48.211;89.908;67.741;81.946;20.195;5.882;0.920
10;48.211;89.908;67.741;81.946;20.195;5.882;0.920
15;48.211;89.908;67.741;81.946;20.195;5.882;0.920
18;48.085;89.738;67.685;81.933;20.327;4.762;0.911
20;47.958;89.529;67.602;81.890;20.490;3.704;0.902
