k,t,N.-U. entropy,Discernibility,Record-level squared error,Attribute-level squared error,Loss score,Highest Risk,Success Rate
5,0.1,50.73,92.42,71.65,88.48,19.16,14.28,1.13
10,0.1,50.69,92.35,71.58,88.38,19.22,10.00,1.12
15,0.1,50.50,91.89,71.41,88.32,19.60,5.55,1.08
