k;N.-U. Entropy (%);Discernibility (%);Record-level Squared Error (%);Attribute-level Squared Error (%);Loss Score (%);Highest Risk (%);Success Rate (%)
10;59.677;99.050;81.848;92.710;8.737;10;1.894
11;59.620;98.850;81.690;92.525;8.913;9.09;1.878
12;59.422;98.410;81.448;92.299;9.286;8.333;1.846
13;59.322;98.170;81.294;92.133;9.495;7.692;1.830
14;59.129;97.781;81.124;92.036;9.812;7.143;1.807
15;59.010;97.501;80.930;91.819;10.060;6.250;1.791
