k,t,N.-U. entropy (%),Discernibility (%),Record-level squared error (%),Attribute-level squared error (%),Loss score (%),Highest Risk (%),Success Rate (%)
15,0.30,59.00,97.50,80.93,91.81,9.90,6.25,1.79
20,0.30,57.83,95.26,79.35,90.13,11.88,4.76,1.69
