k,t,N.-U. entropy (%),Discernibility (%),Record-level squared error (%),Attribute-level squared error (%),Loss score (%),Highest Risk (%),Success Rate (%)
15,0.25,58.69,97.09,80.60,91.51,10.28,6.25,1.78
20,0.25,57.53,94.85,79.03,89.82,12.26,4.76,1.69
