k,t,N.-U. entropy (%),Discernibility (%),Record-level squared error (%),Attribute-level squared error (%),Loss score (%),Highest Risk (%),Success Rate (%),N.-U. entropy Age (%), Suppression (%)
15,0.30,59.00,97.50,80.93,91.81,9.9,6.25,1.79,34.61,1.75 
18,0.30,58.46,96.36,80.20,91.09,10.89,5.55,1.74,34.27,2.89 
