k;N.-U. Entropy (%);Discernibility (%);Record-level Squared Error (%);Attribute-level Squared Error (%);Loss Score (%);Highest Risk (%);Success Rate (%)
15;59.010;97.501;80.930;91.819;10.060;6.250;1.791
18;58.467;96.362;80.206;91.099;11.049;5.556;1.740
20;57.837;95.264;79.360;90.136;12.030;4.762;1.698
